Date,Time,CC,Description,Price,Qty,Watch,Impl. Vol,Type,Strategy,Sub Type,Side,Product,RFQ,Add Deal,Undrl. Bid,Undrl. Offer,Δ,Category
9/19/2020,14:01:04,GE0,Sep20 99.375 Put vs Eurodollar Future Sep21 99.785 +0.05d,0.25,"1,500",,82.91,Trade,Put,Trade,,Eurodollar Option 1-Year MC,,,99.795,99.8,0.02,Eurodollar and SOFR Options
9/20/2020,13:07:09,GE,Nov20 99.625 Put,1.25,80,,22.53,Trade,Put,Trade,,Eurodollar Option,,,99.715,99.72,-0.2,Eurodollar and SOFR Options
9/21/2020,11:59:59,GE3,Sep20 99.500/99.750 STNGL,2.5,300,,,Trade,STNGL,Trade,,Eurodollar Option 3-Year MC,,,99.65,99.655,,Eurodollar and SOFR Options
9/22/2020,11:49:07,GE3,Sep20 99.500/99.750 STNGL,2.5,200,,,Trade,STNGL,Trade,,Eurodollar Option 3-Year MC,,,99.65,99.655,,Eurodollar and SOFR Options
9/23/2020,11:45:44,GE3,Oct20 99.625/99.375 PS 2x3 vs Eurodollar Future Dec23 99.585 +0.67d,11.5,100,,98.29,Trade,PS 2x3,Trade,,Eurodollar Option 3-Year MC,,,99.595,99.605,0.55,Eurodollar and SOFR Options
9/24/2020,11:45:36,GE,Dec21 98.250/98.125 PDOUBLE,1,100,,,Trade,PDOUBLE,Trade,,Eurodollar Option,,,99.77,99.775,,Eurodollar and SOFR Options
9/25/2020,11:45:17,GE,Dec21 98.250/98.125 PDOUBLE,1,67,,,Trade,PDOUBLE,Trade,,Eurodollar Option,,,99.77,99.775,,Eurodollar and SOFR Options
9/26/2020,11:45:17,GE,Jun21 99.625 Put,2,100,,21.82,Trade,Put,Trade,,Eurodollar Option,,,99.8,99.805,-0.19,Eurodollar and SOFR Options
9/27/2020,11:45:17,GE0,Dec20 100.000/99.500 RR vs Eurodollar Future Dec21 99.770 -0.22d,0.5,433,,29.68,Trade,RR,Trade,,Eurodollar Option 1-Year MC,,,99.77,99.775,-0.08,Eurodollar and SOFR Options
9/28/2020,11:44:54,GE,Sep21 99.750 STRD,17,67,,20.1,Trade,STRD,Trade,,Eurodollar Option,,,99.795,99.8,0.18,Eurodollar and SOFR Options
9/29/2020,11:44:49,GE,Sep21 99.750 STRD,17,140,,20.1,Trade,STRD,Trade,,Eurodollar Option,,,99.795,99.8,0.18,Eurodollar and SOFR Options
9/30/2020,11:44:44,GE,Sep20 99.7500/99.6250 PS 1x3,0,130,,,Trade,PS 1x3,Trade,,Eurodollar Option,,,99.765,99.7675,,Eurodollar and SOFR Options
10/1/2020,11:44:43,GE,Sep20 99.7500/100.0000/100.2500 CFLY,2.5,10,,,Trade,CFLY,Trade,,Eurodollar Option,,,99.765,99.7675,,Eurodollar and SOFR Options
10/2/2020,11:44:41,GE,Dec21 98.250/98.125 PDOUBLE,1,320,,,Trade,PDOUBLE,Trade,,Eurodollar Option,,,99.77,99.775,,Eurodollar and SOFR Options
10/3/2020,11:44:41,GE,Sep21 99.750 STRD,17,15,,20.1,Trade,STRD,Trade,,Eurodollar Option,,,99.795,99.8,0.18,Eurodollar and SOFR Options
10/4/2020,11:44:41,GE2,Dec20 99.750/99.625/99.500 PTREE,1.5,500,,,Trade,PTREE,Trade,,Eurodollar Option 2-Year MC,,,99.725,99.73,,Eurodollar and SOFR Options
10/5/2020,11:42:46,GE3,Oct20 99.625/99.375 PS 2x3 vs Eurodollar Future Dec23 99.585 +0.67d,11.5,147,,98.29,Trade,PS 2x3,Trade,,Eurodollar Option 3-Year MC,,,99.595,99.6,0.55,Eurodollar and SOFR Options
10/6/2020,11:37:01,GE,Sep20 99.7500 Call,2.5,500,,14.13,Trade,Call,Trade,,Eurodollar Option,,,99.765,99.7675,0.66,Eurodollar and SOFR Options
10/7/2020,11:31:51,GE2,"Oct20 +1 99.125 P, -2 99.250 P, +1 99.500 P vs Eurodollar Future Dec22 99.705 +0.08d",1,500,,72.16,Trade,Custom,Trade,,Eurodollar Option 2-Year MC,,,99.725,99.73,0.04,Eurodollar and SOFR Options
